id,polarity
1,positive
2,positive
3,positive
4,negative
5,positive
6,positive
7,positive
8,negative
9,positive
10,negative
11,positive
12,positive
13,positive
14,negative
15,negative
16,positive
17,positive
18,positive
19,negative
20,negative
21,negative
22,negative
23,positive
24,positive
25,positive
26,negative
27,positive
28,negative
29,positive
30,positive
31,negative
32,positive
33,negative
34,negative
35,positive
36,positive
37,positive
38,negative
39,positive
40,positive
41,negative
42,negative
43,positive
44,positive
45,negative
46,positive
47,positive
48,positive
49,negative
50,negative
51,positive
52,positive
53,positive
54,positive
55,positive
56,positive
57,positive
58,positive
59,negative
60,positive
61,positive
62,negative
63,positive
64,positive
65,positive
66,positive
67,positive
68,positive
69,positive
70,negative
71,positive
72,positive
73,positive
74,negative
75,negative
76,positive
77,positive
78,negative
79,negative
80,positive
81,negative
82,positive
83,positive
84,negative
85,positive
86,negative
87,positive
88,positive
89,positive
90,negative
91,positive
92,positive
93,positive
94,positive
95,negative
96,positive
97,positive
98,negative
99,negative
100,positive
101,positive
102,positive
103,positive
104,positive
105,positive
106,positive
107,positive
108,positive
109,positive
110,negative
111,positive
112,positive
113,positive
114,negative
115,positive
116,positive
117,positive
118,positive
119,positive
120,negative
121,negative
122,negative
123,positive
124,positive
125,positive
126,positive
127,positive
128,positive
129,positive
130,positive
131,positive
132,negative
133,negative
134,positive
135,negative
136,positive
137,positive
138,negative
139,positive
140,negative
141,positive
142,positive
143,positive
144,negative
145,neutral
146,positive
147,negative
148,positive
149,positive
150,positive
151,positive
152,positive
153,positive
154,positive
155,negative
156,positive
157,positive
158,negative
159,negative
160,positive
161,positive
162,positive
163,negative
164,negative
165,positive
166,positive
167,negative
168,positive
169,positive
170,positive
171,negative
172,positive
173,negative
174,positive
175,positive
176,positive
177,positive
178,positive
179,positive
180,negative
181,positive
182,positive
183,negative
184,positive
185,positive
186,positive
187,positive
188,positive
189,positive
190,negative
191,negative
192,positive
193,positive
194,positive
195,negative
196,negative
197,negative
198,positive
199,positive
200,negative
201,positive
202,positive
203,positive
204,positive
205,positive
206,positive
207,positive
208,negative
209,positive
210,positive
211,positive
212,positive
213,negative
214,negative
215,positive
216,positive
217,positive
218,positive
219,positive
220,positive
221,negative
222,negative
223,positive
224,positive
225,positive
226,positive
227,negative
228,positive
229,positive
230,positive
231,negative
232,negative
233,positive
